garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
0,0,0,1,0,1,1,0,2004,179900,1,3,2018,25,0,0,1,0,0,0,0,0,5924,1194,1,0,1,1,1.833333333,3,1457,13,2,3,1
0,0,0,1,0,1,1,0,2011,405000,1,2,2020,28,0,3,2,2,1,0,1,0,5619,2142,1,0,1,1,2.3,6,1228,14,2,3,1
5,0,0,0,0,1,0,5,2006,2950000,4,10,2019,40,0,4,4,0,0,0,0,0,68389.2,9591,1,0,1,1,3.533333333,7,1277,16,7,5,2
0,1,0,1,0,1,0,0,1993,565000,1,8,2019,25,0,2,1,3,2,0,0,0,1001880,2169,1,0,1,1,4.633333333,3.333333333,1557,14,3,3,2
0,0,0,1,0,1,1,0,2014,194098,1,3,2019,9,0,5,1,0,0,0,0,0,5445,1296,1,0,1,1,3.333333333,3,1457,13,2,3,1
1,0,0,0,0,1,1,1,2018,255700,2,4,2019,22,0,3,2,0,0,0,0,0,6098,2570,1,0,1,1,2.2,2.666666667,1478,13,3,4,2
0,0,0,1,0,1,1,0,1989,495000,1,6,2019,1,0,3,1,0,0,0,0,0,9147,3140,1,0,1,1,1.233333333,8,1275,15,3,5,2
2,0,0,0,0,1,1,2,2016,325000,4,8,2020,67,0,4,2,1,1,0,1,0,6141,2068,1,0,1,1,2.9,3.666666667,1532,12,3,4,2
2,1,0,0,0,1,1,2,1982,250000,1,8,2020,31,0,3,2,2,0,0,0,0,64468.8,2736,1,0,1,1,4.833333333,3.333333333,1557,14,2,4,1
2,0,0,0,0,1,0,2,2006,198500,4,4,2020,27,0,5,2,1,1,0,0,0,5749,1807,1,0,1,1,1.866666667,3,1457,13,2,4,1
2,0,0,0,0,1,0,2,1990,485000,1,10,2020,60,0,5,2,1,1,0,0,0,8624,2956,1,0,1,1,1.233333333,8,1275,15,3,5,1
6,1,0,0,0,0,0,6,1996,5495000,5,10,2020,43,0,2,2,0,0,0,0,0,24829.2,8800,1,0,1,1,4.166666667,7,1277,16,8,5,3
2,0,0,0,0,1,1,2,2016,440000,1,5,2020,31,0,4,3,1,2,0,1,0,5536,2595,1,0,1,1,2.1,8.333333333,1481,16,3,5,2
0,0,0,1,0,1,1,0,2010,225000,2,2,2019,19,0,5,1,0,0,0,0,0,9626,1420,1,0,1,1,3.3,3,1457,13,2,3,1
2,0,0,0,0,1,0,2,2003,207900,4,7,2018,26,0,2,2,0,0,0,0,0,5314,1929,1,0,1,1,1.633333333,3,1457,13,2,3,1
2,0,0,0,0,0,1,2,1976,575000,1,1,2021,23,0,4,2,1,0,0,0,0,14810.4,2170,0,1,1,1,1.2,8.666666667,1632,16,2,4,1
0,0,0,1,0,1,1,0,1996,200000,1,9,2019,30,0,2,1,0,1,0,0,0,6969,1592,1,0,1,1,1.766666667,3,1457,13,3,3,2
0,0,0,1,0,1,1,0,2016,675000,2,7,2019,40,0,3,2,1,0,0,0,0,12632.4,3837,1,0,1,1,3.266666667,7.666666667,1259,14,5,5,2
0,0,0,1,0,1,1,0,2011,975000,1,1,2018,36,0,3,1,0,0,0,0,0,58806,3450,1,0,1,1,1.9,7,1277,16,4,4,1
6,1,0,0,0,1,1,6,1976,259000,2,1,2019,19,0,4,3,0,0,0,0,0,16552.8,1239,1,0,1,1,1.766666667,5.333333333,1369,12,2,3,1
0,0,0,1,0,1,1,0,2016,275000,1,2,2020,40,0,4,1,0,0,0,1,0,5488,1449,1,0,1,1,2.9,3.666666667,1532,12,2,3,1
0,0,0,1,0,1,1,0,1997,199999,4,8,2019,18,0,3,1,1,0,0,0,0,5227,1335,1,0,1,1,1.733333333,3,1457,13,2,3,1
2,0,0,0,0,1,1,2,2020,268729,5,6,2020,1,0,3,1,0,1,0,1,0,4800,1514,1,0,1,1,3.133333333,3,1457,13,2,3,1
0,0,0,1,0,1,1,0,2013,625000,1,7,2019,30,0,2,2,1,0,0,0,0,15681.6,3111,1,0,1,1,3.266666667,7.666666667,1259,14,3,4,1
4,0,0,0,0,1,1,4,1989,435000,7,7,2020,65,0,2,2,2,0,0,2,0,8973,3113,1,0,1,1,1.2,8,1275,15,3,4,2
0,0,0,1,0,1,1,0,2016,285000,2,12,2018,1,0,4,1,0,0,0,0,0,5662,1973,1,0,1,1,2.9,3.666666667,1532,12,3,3,2
0,0,0,1,0,1,1,0,1995,399900,1,1,2019,26,0,3,1,0,0,0,0,0,3963,1487,1,0,1,1,3.4,7,1177,16,2,2,1
0,0,0,1,0,1,1,0,2016,215000,1,8,2019,27,0,3,1,0,0,0,0,0,5749,1370,1,0,1,1,1.833333333,3,1457,13,2,3,1
2,0,0,0,0,1,1,2,2000,519500,3,11,2020,67,0,2,2,1,3,0,0,0,7666,3055,1,0,1,1,2.1,7,1277,16,4,4,2
0,0,0,1,0,1,1,0,2010,450000,1,8,2018,14,0,2,1,0,0,0,0,0,6368,2283,1,0,1,1,0.6,7,1381,16,3,4,2
0,0,0,1,0,1,1,0,1995,463700,1,10,2018,37,0,2,1,0,0,0,0,0,9539,3115,1,0,1,1,1.533333333,8,1275,15,3,4,2
2,0,0,0,0,1,1,2,1987,209900,1,3,2020,23,0,7,2,0,0,0,1,0,5558,1419,1,0,1,1,1.666666667,3,1457,13,2,3,1
2,0,0,0,0,1,1,2,2016,375000,2,8,2020,78,0,2,2,1,0,0,0,0,6969,2682,1,0,1,1,2.9,3.666666667,1532,12,5,7,2
2,0,0,0,0,1,1,2,2014,229900,1,6,2020,32,0,2,2,1,1,0,0,0,4573,1936,1,0,1,1,3.2,3,1457,13,3,4,2
